symbol,date,high,low,open,close,volume
GOOG,2020-10-27,80.3423,79.139,79.7835,80.213,24580040.0
GOOG,2020-10-28,78.0675,75.731,77.987,75.831,36676680.0
GOOG,2020-10-29,79.6855,76.112,76.118,78.362,40061280.0
GOOG,2020-10-30,84.35,80.223,83.6055,81.0505,86617240.0
GOOG,2020-11-02,83.0385,80.8015,81.408,81.3015,50708920.0
GOOG,2020-11-03,83.085,80.831,81.589,82.5105,32932760.0
GOOG,2020-11-04,88.5683,85.3015,85.514,87.4565,71418540.0
GOOG,2020-11-05,89.682,87.5255,89.05,88.1685,41316240.0
GOOG,2020-11-06,88.6215,87.0175,87.6975,88.0875,33224500.0
GOOG,2020-11-09,90.903,88.001,89.545,88.15,45365400.0
GOOG,2020-11-10,88.15,85.865,86.5545,87.0195,52722840.0
GOOG,2020-11-11,88.211,87.3683,87.5,87.6355,25279320.0
GOOG,2020-11-12,88.4135,87.28,87.3815,87.492,24975080.0
GOOG,2020-11-13,89.052,87.2275,87.8815,88.851,30011480.0
GOOG,2020-11-16,89.9535,88.3845,88.585,89.069,24935700.0
GOOG,2020-11-17,89.25,88.35,88.847,88.5075,22942280.0
GOOG,2020-11-18,88.6735,87.307,88.2615,87.339,23469320.0
GOOG,2020-11-19,88.4795,86.8503,86.919,88.196,24998200.0
GOOG,2020-11-20,88.7,87.093,88.2605,87.1095,46273100.0
GOOG,2020-11-23,87.695,85.886,87.48,86.743,43239500.0
GOOG,2020-11-24,88.58,86.3845,86.525,88.444,31594060.0
GOOG,2020-11-25,88.927,87.827,88.6445,88.5715,20922440.0
GOOG,2020-11-27,90.2,88.622,88.6545,89.6595,17698320.0
GOOG,2020-11-30,89.4033,87.75,89.0592,88.037,36476720.0
GOOG,2020-12-01,91.2415,88.4685,88.7185,89.905,34780900.0
GOOG,2020-12-02,91.7825,89.4736,89.905,91.3975,24440640.0
GOOG,2020-12-03,92.36,91.1325,91.2005,91.3385,24545960.0
GOOG,2020-12-04,91.658,90.8495,91.226,91.3995,27373320.0
GOOG,2020-12-07,91.6185,90.289,90.95,90.974,26418920.0
GOOG,2020-12-08,91.095,89.8102,90.505,90.9275,21926380.0
GOOG,2020-12-09,91.7135,88.3905,90.6005,89.2065,30151160.0
GOOG,2020-12-10,89.0655,87.016,88.49,88.7665,27256960.0
GOOG,2020-12-11,89.2225,88.0,88.153,89.0885,24413020.0
GOOG,2020-12-14,89.8695,87.8608,88.75,88.003,32003460.0
GOOG,2020-12-15,88.571,87.4975,88.221,88.3885,29645220.0
GOOG,2020-12-16,88.65,87.804,88.644,88.15,30270860.0
GOOG,2020-12-17,88.5892,86.933,88.4255,87.395,32494880.0
GOOG,2020-12-18,87.7555,86.011,87.709,86.5505,80327060.0
GOOG,2020-12-21,87.0425,84.95,85.6755,86.9685,36567100.0
GOOG,2020-12-22,86.8703,85.6288,86.7215,86.175,18766920.0
GOOG,2020-12-23,87.3995,86.252,86.4055,86.619,20678340.0
GOOG,2020-12-24,87.3,86.4555,86.75,86.9425,6935060.0
GOOG,2020-12-28,89.5364,87.3168,87.5818,88.8045,27860660.0
GOOG,2020-12-29,89.622,87.8045,89.3895,87.936,25987900.0
GOOG,2020-12-30,88.2548,86.28,88.1005,86.976,26122600.0
GOOG,2020-12-31,87.9465,86.771,86.771,87.594,20244800.0
GOOG,2021-01-04,88.0325,85.3925,87.877,86.412,38037100.0
GOOG,2021-01-05,87.3835,85.9008,86.25,87.046,22906940.0
GOOG,2021-01-06,87.4,84.95,85.1315,86.7645,52042280.0
GOOG,2021-01-07,89.42,86.8525,87.003,89.3625,45300440.0
GOOG,2021-01-08,90.492,88.6768,89.399,90.3605,41020040.0
GOOG,2021-01-11,89.7158,88.026,89.3035,88.336,24194700.0
GOOG,2021-01-12,88.902,86.2655,87.696,87.3275,27153820.0
GOOG,2021-01-13,88.2518,86.9005,86.929,87.72,21882620.0
GOOG,2021-01-14,88.7505,86.67,87.681,87.009,23589540.0
GOOG,2021-01-15,87.8,86.0775,86.9095,86.8095,26843400.0
GOOG,2021-01-19,90.4638,87.073,87.6125,89.543,34692280.0
GOOG,2021-01-20,95.1855,91.2765,91.573,94.345,49805160.0
GOOG,2021-01-21,96.743,94.3555,94.9,94.5625,41278640.0
GOOG,2021-01-22,95.5475,94.088,94.784,95.0525,25444640.0
GOOG,2021-01-25,96.479,93.3765,96.0335,94.97,38546400.0
GOOG,2021-01-26,96.25,94.2123,94.442,95.862,26262780.0
GOOG,2021-01-27,94.5,90.45,94.1265,91.5395,54965840.0
GOOG,2021-01-28,94.9415,92.132,92.197,93.1555,35462760.0
GOOG,2021-01-29,92.864,90.51,92.3085,91.787,32251040.0
GOOG,2021-02-01,96.1196,92.576,92.6785,95.0675,32043640.0
GOOG,2021-02-02,97.788,95.7245,96.128,96.3755,45474460.0
GOOG,2021-02-03,105.825,100.919,103.65,103.5035,82363400.0
GOOG,2021-02-04,103.9275,102.1295,103.4445,103.1185,37046580.0
GOOG,2021-02-05,105.1255,102.9665,103.5,104.9,30702700.0
GOOG,2021-02-08,106.1773,103.6,105.2955,104.6455,24848220.0
GOOG,2021-02-09,105.2565,103.927,103.927,104.1755,17797000.0
GOOG,2021-02-10,105.4185,103.1545,104.7105,104.769,22709280.0
GOOG,2021-02-11,105.1015,103.866,104.9755,104.7945,18913000.0
GOOG,2021-02-12,105.441,104.1565,104.5125,105.2055,17117300.0
GOOG,2021-02-16,107.634,105.218,105.218,106.095,22676760.0
GOOG,2021-02-17,106.683,104.946,105.0,106.4155,21418820.0
GOOG,2021-02-18,106.6368,105.1855,105.5195,105.86,22437100.0
GOOG,2021-02-19,106.5265,104.8705,105.9635,105.057,29152240.0
GOOG,2021-02-22,104.571,103.107,103.35,103.244,27350660.0
GOOG,2021-02-23,104.1005,100.101,101.2505,103.543,33347540.0
GOOG,2021-02-24,105.039,101.9065,102.0915,104.7585,24966980.0
GOOG,2021-02-25,104.744,101.0645,103.3725,101.568,36568640.0
GOOG,2021-02-26,103.5505,100.803,102.526,101.843,41676020.0
GOOG,2021-03-01,104.326,102.305,102.826,104.0755,28102300.0
GOOG,2021-03-02,105.2185,103.563,103.8095,103.792,22691900.0
GOOG,2021-03-03,104.4259,100.5,103.3605,101.3355,29683620.0
GOOG,2021-03-04,104.462,101.0135,101.1685,102.4545,42360120.0
GOOG,2021-03-05,105.9055,102.3208,103.656,105.427,43904360.0
GOOG,2021-03-08,106.4405,101.0805,105.0565,101.2085,32948580.0
GOOG,2021-03-09,103.902,102.3915,103.5,102.635,33946120.0
GOOG,2021-03-10,103.75,101.6685,103.588,102.7515,25371840.0
GOOG,2021-03-11,106.285,103.619,103.703,105.7385,24781600.0
GOOG,2021-03-12,104.513,102.3775,104.25,103.096,34515880.0
GOOG,2021-03-15,103.353,102.1755,103.115,103.3245,25966500.0
GOOG,2021-03-16,106.178,103.5,103.9495,104.626,29791280.0
GOOG,2021-03-17,105.489,102.7,103.8015,104.554,25980320.0
GOOG,2021-03-18,103.775,101.6775,103.05,101.811,27248600.0
GOOG,2021-03-19,102.655,100.884,102.1025,102.16,46297860.0
GOOG,2021-03-22,102.8995,101.3035,102.092,101.9295,39096320.0
GOOG,2021-03-23,103.6151,101.961,102.585,102.648,27339940.0
GOOG,2021-03-24,103.9105,102.0778,103.2685,102.253,23080580.0
GOOG,2021-03-25,102.9435,100.5365,102.2405,102.218,28378140.0
GOOG,2021-03-26,102.5495,100.701,101.943,101.7775,29876000.0
GOOG,2021-03-29,102.9215,100.781,101.394,102.7975,24595540.0
GOOG,2021-03-30,103.539,102.2015,102.8815,102.777,20735480.0
GOOG,2021-03-31,104.6664,102.8373,102.956,103.4315,29198600.0
GOOG,2021-04-01,107.147,104.8445,104.8975,106.8875,33979560.0
GOOG,2021-04-05,111.8655,107.581,107.647,111.2775,43297500.0
GOOG,2021-04-06,111.883,110.74,111.125,111.2375,27060720.0
GOOG,2021-04-07,112.75,111.2665,111.3065,112.484,25797220.0
GOOG,2021-04-08,114.2003,112.884,113.898,113.272,27165180.0
GOOG,2021-04-09,114.452,112.6857,112.835,114.294,20887300.0
GOOG,2021-04-12,113.766,111.9233,113.3125,112.7395,31317020.0
GOOG,2021-04-13,113.8605,112.8045,113.0735,113.3635,23316080.0
GOOG,2021-04-14,113.8995,112.4595,113.758,112.742,20219340.0
GOOG,2021-04-15,115.3298,113.3,113.849,114.833,27472240.0
